phosphate_weight,base_stacking_weight,metal_coordination_weight,objective,top1_accuracy,mean_score_error,mean_expected_contact_hit_fraction,mean_reference_best_decoy_margin,mean_decoy_margin_penalty,mean_active_aptamer_term_count,mean_reference_rank,case_summaries
-0.320000,-0.350000,-0.350000,0.000000,1.000000,0.000000,1.000,26.703545,0.000000,2.000000,1.000000,4q9r-spinach-2zy:rank1:topmode:1:decoys10:margin26.704
-0.080000,-0.250000,-0.100000,0.000000,1.000000,0.000000,1.000,26.685607,0.000000,2.000000,1.000000,4q9r-spinach-2zy:rank1:topmode:1:decoys10:margin26.686
-0.080000,-0.250000,-0.220000,0.000000,1.000000,0.000000,1.000,26.685607,0.000000,2.000000,1.000000,4q9r-spinach-2zy:rank1:topmode:1:decoys10:margin26.686
-0.080000,-0.250000,-0.350000,0.000000,1.000000,0.000000,1.000,26.685607,0.000000,2.000000,1.000000,4q9r-spinach-2zy:rank1:topmode:1:decoys10:margin26.686
-0.120000,-0.250000,-0.100000,0.000000,1.000000,0.000000,1.000,26.685598,0.000000,2.000000,1.000000,4q9r-spinach-2zy:rank1:topmode:1:decoys10:margin26.686
-0.120000,-0.250000,-0.220000,0.000000,1.000000,0.000000,1.000,26.685598,0.000000,2.000000,1.000000,4q9r-spinach-2zy:rank1:topmode:1:decoys10:margin26.686
-0.120000,-0.250000,-0.350000,0.000000,1.000000,0.000000,1.000,26.685598,0.000000,2.000000,1.000000,4q9r-spinach-2zy:rank1:topmode:1:decoys10:margin26.686
-0.180000,-0.250000,-0.100000,0.000000,1.000000,0.000000,1.000,26.685583,0.000000,2.000000,1.000000,4q9r-spinach-2zy:rank1:topmode:1:decoys10:margin26.686
-0.180000,-0.250000,-0.220000,0.000000,1.000000,0.000000,1.000,26.685583,0.000000,2.000000,1.000000,4q9r-spinach-2zy:rank1:topmode:1:decoys10:margin26.686
-0.180000,-0.250000,-0.350000,0.000000,1.000000,0.000000,1.000,26.685583,0.000000,2.000000,1.000000,4q9r-spinach-2zy:rank1:topmode:1:decoys10:margin26.686
-0.240000,-0.250000,-0.100000,0.000000,1.000000,0.000000,1.000,26.685568,0.000000,2.000000,1.000000,4q9r-spinach-2zy:rank1:topmode:1:decoys10:margin26.686
-0.240000,-0.250000,-0.220000,0.000000,1.000000,0.000000,1.000,26.685568,0.000000,2.000000,1.000000,4q9r-spinach-2zy:rank1:topmode:1:decoys10:margin26.686
-0.240000,-0.250000,-0.350000,0.000000,1.000000,0.000000,1.000,26.685568,0.000000,2.000000,1.000000,4q9r-spinach-2zy:rank1:topmode:1:decoys10:margin26.686
-0.320000,-0.250000,-0.100000,0.000000,1.000000,0.000000,1.000,26.685548,0.000000,2.000000,1.000000,4q9r-spinach-2zy:rank1:topmode:1:decoys10:margin26.686
-0.320000,-0.250000,-0.220000,0.000000,1.000000,0.000000,1.000,26.685548,0.000000,2.000000,1.000000,4q9r-spinach-2zy:rank1:topmode:1:decoys10:margin26.686
-0.320000,-0.250000,-0.350000,0.000000,1.000000,0.000000,1.000,26.685548,0.000000,2.000000,1.000000,4q9r-spinach-2zy:rank1:topmode:1:decoys10:margin26.686
-0.080000,-0.150000,-0.100000,0.000000,1.000000,0.000000,1.000,26.667611,0.000000,2.000000,1.000000,4q9r-spinach-2zy:rank1:topmode:1:decoys10:margin26.668
-0.080000,-0.150000,-0.220000,0.000000,1.000000,0.000000,1.000,26.667611,0.000000,2.000000,1.000000,4q9r-spinach-2zy:rank1:topmode:1:decoys10:margin26.668
-0.080000,-0.150000,-0.350000,0.000000,1.000000,0.000000,1.000,26.667611,0.000000,2.000000,1.000000,4q9r-spinach-2zy:rank1:topmode:1:decoys10:margin26.668
-0.120000,-0.150000,-0.100000,0.000000,1.000000,0.000000,1.000,26.667601,0.000000,2.000000,1.000000,4q9r-spinach-2zy:rank1:topmode:1:decoys10:margin26.668
-0.120000,-0.150000,-0.220000,0.000000,1.000000,0.000000,1.000,26.667601,0.000000,2.000000,1.000000,4q9r-spinach-2zy:rank1:topmode:1:decoys10:margin26.668
-0.120000,-0.150000,-0.350000,0.000000,1.000000,0.000000,1.000,26.667601,0.000000,2.000000,1.000000,4q9r-spinach-2zy:rank1:topmode:1:decoys10:margin26.668
-0.180000,-0.150000,-0.100000,0.000000,1.000000,0.000000,1.000,26.667586,0.000000,2.000000,1.000000,4q9r-spinach-2zy:rank1:topmode:1:decoys10:margin26.668
-0.180000,-0.150000,-0.220000,0.000000,1.000000,0.000000,1.000,26.667586,0.000000,2.000000,1.000000,4q9r-spinach-2zy:rank1:topmode:1:decoys10:margin26.668
-0.180000,-0.150000,-0.350000,0.000000,1.000000,0.000000,1.000,26.667586,0.000000,2.000000,1.000000,4q9r-spinach-2zy:rank1:topmode:1:decoys10:margin26.668
-0.240000,-0.150000,-0.100000,0.000000,1.000000,0.000000,1.000,26.667572,0.000000,2.000000,1.000000,4q9r-spinach-2zy:rank1:topmode:1:decoys10:margin26.668
-0.240000,-0.150000,-0.220000,0.000000,1.000000,0.000000,1.000,26.667572,0.000000,2.000000,1.000000,4q9r-spinach-2zy:rank1:topmode:1:decoys10:margin26.668
-0.240000,-0.150000,-0.350000,0.000000,1.000000,0.000000,1.000,26.667572,0.000000,2.000000,1.000000,4q9r-spinach-2zy:rank1:topmode:1:decoys10:margin26.668
-0.320000,-0.150000,-0.100000,0.000000,1.000000,0.000000,1.000,26.667552,0.000000,2.000000,1.000000,4q9r-spinach-2zy:rank1:topmode:1:decoys10:margin26.668
-0.320000,-0.150000,-0.220000,0.000000,1.000000,0.000000,1.000,26.667552,0.000000,2.000000,1.000000,4q9r-spinach-2zy:rank1:topmode:1:decoys10:margin26.668
-0.320000,-0.150000,-0.350000,0.000000,1.000000,0.000000,1.000,26.667552,0.000000,2.000000,1.000000,4q9r-spinach-2zy:rank1:topmode:1:decoys10:margin26.668
