phosphate_weight,base_stacking_weight,metal_coordination_weight,objective,top1_accuracy,mean_score_error,mean_expected_contact_hit_fraction,mean_expected_contact_specificity,mean_top_pose_rmsd_to_reference,mean_best_decoy_rmsd_to_reference,mean_reference_best_decoy_margin,mean_decoy_margin_penalty,mean_threatening_decoy_clash_penalty,mean_active_aptamer_term_count,mean_reference_rank,case_summaries
-0.080000,-0.500000,-0.100000,0.187500,1.000000,0.000000,1.000,0.000,0.000,8.224,26.730599,0.000000,0.000000,2.000000,1.000000,4q9r-spinach-2zy:rank1:topmode:1:decoys10:margin26.731:topRMSD0.000:bestDecoyRMSD8.224:contactSpec0.000:clashPen0.000
-0.080000,-0.500000,-0.220000,0.187500,1.000000,0.000000,1.000,0.000,0.000,8.224,26.730599,0.000000,0.000000,2.000000,1.000000,4q9r-spinach-2zy:rank1:topmode:1:decoys10:margin26.731:topRMSD0.000:bestDecoyRMSD8.224:contactSpec0.000:clashPen0.000
-0.080000,-0.500000,-0.350000,0.187500,1.000000,0.000000,1.000,0.000,0.000,8.224,26.730599,0.000000,0.000000,2.000000,1.000000,4q9r-spinach-2zy:rank1:topmode:1:decoys10:margin26.731:topRMSD0.000:bestDecoyRMSD8.224:contactSpec0.000:clashPen0.000
-0.120000,-0.500000,-0.100000,0.187500,1.000000,0.000000,1.000,0.000,0.000,8.224,26.730589,0.000000,0.000000,2.000000,1.000000,4q9r-spinach-2zy:rank1:topmode:1:decoys10:margin26.731:topRMSD0.000:bestDecoyRMSD8.224:contactSpec0.000:clashPen0.000
-0.120000,-0.500000,-0.220000,0.187500,1.000000,0.000000,1.000,0.000,0.000,8.224,26.730589,0.000000,0.000000,2.000000,1.000000,4q9r-spinach-2zy:rank1:topmode:1:decoys10:margin26.731:topRMSD0.000:bestDecoyRMSD8.224:contactSpec0.000:clashPen0.000
-0.120000,-0.500000,-0.350000,0.187500,1.000000,0.000000,1.000,0.000,0.000,8.224,26.730589,0.000000,0.000000,2.000000,1.000000,4q9r-spinach-2zy:rank1:topmode:1:decoys10:margin26.731:topRMSD0.000:bestDecoyRMSD8.224:contactSpec0.000:clashPen0.000
-0.180000,-0.500000,-0.100000,0.187500,1.000000,0.000000,1.000,0.000,0.000,8.224,26.730574,0.000000,0.000000,2.000000,1.000000,4q9r-spinach-2zy:rank1:topmode:1:decoys10:margin26.731:topRMSD0.000:bestDecoyRMSD8.224:contactSpec0.000:clashPen0.000
-0.180000,-0.500000,-0.220000,0.187500,1.000000,0.000000,1.000,0.000,0.000,8.224,26.730574,0.000000,0.000000,2.000000,1.000000,4q9r-spinach-2zy:rank1:topmode:1:decoys10:margin26.731:topRMSD0.000:bestDecoyRMSD8.224:contactSpec0.000:clashPen0.000
-0.180000,-0.500000,-0.350000,0.187500,1.000000,0.000000,1.000,0.000,0.000,8.224,26.730574,0.000000,0.000000,2.000000,1.000000,4q9r-spinach-2zy:rank1:topmode:1:decoys10:margin26.731:topRMSD0.000:bestDecoyRMSD8.224:contactSpec0.000:clashPen0.000
-0.240000,-0.500000,-0.100000,0.187500,1.000000,0.000000,1.000,0.000,0.000,8.224,26.730559,0.000000,0.000000,2.000000,1.000000,4q9r-spinach-2zy:rank1:topmode:1:decoys10:margin26.731:topRMSD0.000:bestDecoyRMSD8.224:contactSpec0.000:clashPen0.000
-0.240000,-0.500000,-0.220000,0.187500,1.000000,0.000000,1.000,0.000,0.000,8.224,26.730559,0.000000,0.000000,2.000000,1.000000,4q9r-spinach-2zy:rank1:topmode:1:decoys10:margin26.731:topRMSD0.000:bestDecoyRMSD8.224:contactSpec0.000:clashPen0.000
-0.240000,-0.500000,-0.350000,0.187500,1.000000,0.000000,1.000,0.000,0.000,8.224,26.730559,0.000000,0.000000,2.000000,1.000000,4q9r-spinach-2zy:rank1:topmode:1:decoys10:margin26.731:topRMSD0.000:bestDecoyRMSD8.224:contactSpec0.000:clashPen0.000
-0.320000,-0.500000,-0.100000,0.187500,1.000000,0.000000,1.000,0.000,0.000,8.224,26.730540,0.000000,0.000000,2.000000,1.000000,4q9r-spinach-2zy:rank1:topmode:1:decoys10:margin26.731:topRMSD0.000:bestDecoyRMSD8.224:contactSpec0.000:clashPen0.000
-0.320000,-0.500000,-0.220000,0.187500,1.000000,0.000000,1.000,0.000,0.000,8.224,26.730540,0.000000,0.000000,2.000000,1.000000,4q9r-spinach-2zy:rank1:topmode:1:decoys10:margin26.731:topRMSD0.000:bestDecoyRMSD8.224:contactSpec0.000:clashPen0.000
-0.320000,-0.500000,-0.350000,0.187500,1.000000,0.000000,1.000,0.000,0.000,8.224,26.730540,0.000000,0.000000,2.000000,1.000000,4q9r-spinach-2zy:rank1:topmode:1:decoys10:margin26.731:topRMSD0.000:bestDecoyRMSD8.224:contactSpec0.000:clashPen0.000
